,selected_text,sentiment,text,textID
1079,loveeee,positive,tonight was hilariouss  i loveeee everyone that was theree,3e9559f5a8
1080,so grateful!!,positive, thank YOU!! You guys did awesome things for my blog tonight  so grateful!!,d482c6c7d5
1081,Call me when you have time and a good phone  I wanna catch up with you! I love you and miss you.,neutral, Call me when you have time and a good phone  I wanna catch up with you! I love you and miss you.,d716550d6a
1082,has heart burn,negative,has heart burn,fe80c21e0f
1083,thanks to you th,positive,@_TWEE haha thanks to you that`s my new word for the week! ****,e9c337f756
1084,"even if I was drunk, I`d think about using a fake/temporary mail address",neutral," even if I was drunk, I`d think about using a fake/temporary mail address",ea912151ea
1085,Happy,positive,Happy Mom`s day to your moms !,0676ff0933
1086,luv,positive,_Guy Would luv to hear music too but iï¿½m out of batteries - the tv plays besides but i think this is some kind of vampire movie,e41a2b7868
1087,Just touched down in Changi. +1/2 hrs to kill before heading to Penang.  Must fly singapore air more often!,neutral,Just touched down in Changi. +1/2 hrs to kill before heading to Penang.  Must fly singapore air more often!,a381d7bfa5
1088,afraid,negative," dude, that`s eff`ed up. LOL @ chris browning you. We live so far apart and Im afraid to fly",003034a92b
1089,wow i have no friends on twitter,neutral,wow i have no friends on twitter,b57eb445ce
1090,hard,negative,Washing The Dishes :S iTs So hard 2 be Me,5ce6e92e2c
1091,positivity is doin me good! Change it up! Won`t regret it... Forsure..,positive,"Just wanted to say, positivity is doin me good! Change it up! Won`t regret it... Forsure..",57558f3cbe
1092,my friend sent u call bck messages. i dunno if you could reply but she has no credit thts all.,neutral, my friend sent u call bck messages. i dunno if you could reply but she has no credit thts all.,b38e530e2d
1093,Love,positive, I had mint ice-cream for dessert tonight. Love the stuff!,d703cd3563
1094,laughing,positive,watching snl with my ucsd girls and laughing about twitter/blackberry jokes  thought i`d tweet that.,b5a0dcb5ee
1095,when leaving the shops I had a Medium Light Coffee Frappuccino. Nom nom nom,neutral,Drink #2: And at 12:45pm when leaving the shops I had a Medium Light Coffee Frappuccino. Nom nom nom,af60628cca
1096,.I`ve become poor again,negative, Depends on what they want for it....I`ve become poor again,14c67c535b
1097,uploading pictures on myspace,neutral,uploading pictures on myspace,4367f31dec
1098,"but it was kinda funny, sorry. ur still my favorite tho",neutral," but it was kinda funny, sorry. ur still my favorite tho",e2b9a690b8
1099,worth,positive, i think both ?s related to size depend on structures and system: hard to relay in tweet but worth blogging..good questions this am,25edc7715c
1100,No internet there.,negative,Almost to grandmas now. No internet there. I will never catch up on twitter.,44543f660b
1101,awesome,positive,Is having awesome fruits and vegetable juice at the opening of Lam`s noodles at 8  http://tinyurl.com/r65c68,35bd07c5d3
1102,LoL Clever I`m Extremely Jealous Of The Amount Of Followers You Have  I Only Have 24,neutral, LoL Clever I`m Extremely Jealous Of The Amount Of Followers You Have  I Only Have 24,95bbe5fcec
1103,loosing,negative,okie gonna tweet more because i am loosing you guys or girls,78de864435
1104,"I think your friend is thinking of Jonathan, not Danny",neutral,"  I think your friend is thinking of Jonathan, not Danny",777b6daede
1105,nice we,positive,Packing up and leaving inlaws house heading home sweet home... Had a nice weekend and back to work in a few hours,5419aaf31e
1106,HAPPY MOMMA`s DAY ALL.,positive,HAPPY MOMMA`s DAY ALL. HONOR YOUR MOMs  sign up for #maternalhealth  here`s for all mothers and luvin kids out there:  http://bit.ly/Bpekk,5c3060444c
1107,just got back from donating blood,neutral,just got back from donating blood,a05e5f3116
1108,tired?,negative,why am i so tired?,00886f0ea5
1109,please,positive,y do i only have 2 people following me  people follow me please x,8a16f7dd37
1110,painful,negative,just uploaded my new blog... a painful story about an 80s year old man who cried because he wanted to die... very sad,b11a01ef9b
1111,another purse? Need to see photos.,neutral, another purse? Need to see photos.,282e1a63e8
1112,Aw. Toy Story 3 is coming out NEXT year.,positive,Aw. Toy Story 3 is coming out NEXT year.,445f86a65e
1113,I`m not leaving yet!,neutral,   I`m not leaving yet!,d5a48e9def
1114,Happy,positive,goooodnight everyone!  and Happy Mothers Day to all the mothers out there.,82395294cf
1115,monumental,positive,My whole immediate will be in the same city until some point tomorrow afternoon. This is monumental,fd46b0b0ad
1116,What??  Nooooooooo      There goes my week,neutral, What??  Nooooooooo      There goes my weekend!,c31e69a36d
1117,Good days with good friends ma,positive,Good days with good friends make me not regret living,894782cf8a
1118,miss yall,negative, wats gooood !! miss yall already,c9d6997a02
1119,OMG I would sooooo make dis show number one,positive,OMG I would sooooo make dis show number one n da ratings,f3af5ba921
1120,Listening to dashboard confessional & counting down the days until the  concert on May 16th with,neutral,Listening to dashboard confessional & counting down the days until the  concert on May 16th with ,847d7a478a
1121,i`m all alone,negative,its my burfday and i`m all alone,bba51e47ab
1122,n interesting,positive, Yes...met Jon last yr at an interesting 'Questionning Agile' Agile 2008 session.  Don`t see him on this yr`s schedule.,902c42e338
1123,aaawww  no worries,positive, aaawww  no worries fresh start to work on growing it out again,e487233140
1124,fun.,positive,Just spent the last two hours playing L4D with babe  Had HELLA fun. I love him <3,e497b2a34e
1125,nice to have you back,positive, nice to have you back,fada4f1204
1126,1. Too slow! 2. Too big! 3. I get car sick! 4. Motorbikes are much much much more fun!!,neutral,I knew there was a reason I hated cars! 1. Too slow! 2. Too big! 3. I get car sick! 4. Motorbikes are much much much more fun!!,c3897a6af3
1127,"well it`s not done yet ! 1 more thing left huaaahhhhh ! jupaa, resaaaa awas kaliaaannn !",neutral,"well it`s not done yet ! 1 more thing left huaaahhhhh ! jupaa, resaaaa awas kaliaaannn !",794b975d65
1128,"hahahah yeah, you`re right! Plus I`m Twitteraddict so, You`ll find me here all (well almost) day most likely",neutral," hahahah yeah, you`re right! Plus I`m Twitteraddict so, You`ll find me here all (well almost) day most likely",3ff22a3aa1
1129,Enjoy the coffee.,positive," Enjoy the coffee. We miss you, petite puce (adica Puricel in franceza)",875d366982
1130,omg evie. we have to do our plan for hot 30 tomorrow night,neutral, omg evie. we have to do our plan for hot 30 tomorrow night,9d92e249f8
1131,sad!,negative,"Why are young people attracted to trouble? this makes me sad!  ,<3 kMv",debbe76d54
1132,And i freakin miss anthony  ugh today kinda sucks.,negative,Omg i`m going to robinson with tyler wfm. And i freakin miss anthony  ugh today kinda sucks. Lex<3,cb3ca1167f
1133,my little felted thing looks like an incestuous by- product of two of your lovelies,positive, my little felted thing looks like an incestuous by- product of two of your lovelies,642f6f34b9
1134,s super sad,negative, That is super sad   How is Bart etc holding up?,0e533abdae
1135,breaks my heart.,negative,_ERON Effy breaks my heart.,bf18156019
1136,thanks,positive, thanks  lyxxx,3113132bb5
1137,I am jealous...Ur koi fish are getting ur attention & I`m not.....lmao   I`m kidding!,neutral, I am jealous...Ur koi fish are getting ur attention & I`m not.....lmao   I`m kidding!!,ddcc9dee12
1138,terrible,negative,and this terrible cartoon that`s supposed to be mexican.,6dbc4aeaf0
1139,Happy Mothers Day!,positive,Happy Mothers Day!,cd1a90193c
1140,Happy,positive, Happy May Day and Star Wars Day,0a60343f49
1141,happy,positive,happy mother`s day!,c9511eb366
1142,is wondering what I did to get on the 'do not respond' list,neutral,is wondering what I did to get on the 'do not respond' list,bafe958a9b
1143,Jaydiohead 'No Karma' ? http://twt.fm/91610 #musicmonday This is not the android I was looking for. But it`ll do.,neutral,Jaydiohead 'No Karma' ? http://twt.fm/91610 #musicmonday This is not the android I was looking for. But it`ll do.,5e1d705bfa
1144,"I am ok, I think I will just take the attitude that Mothers Day is an invented Hallmark holiday from now on",neutral," I am ok, I think I will just take the attitude that Mothers Day is an invented Hallmark holiday from now on",a8bce31401
1145,problem,negative, - Sorry only just seen this - how strange it seems only to happen from my iPhone - perhaps it is a problem with Twitterific,bb946cb35b
1146,Happy,positive, Happy birthday!,9bf21c82f3
1147,At bus boys and poets ordering medici and white chocolate banana bread pudding,neutral,http://twitpic.com/4wgoi - At bus boys and poets ordering medici and white chocolate banana bread pudding !!,8263d62bf3
1148,"Now, lets do funkey stuff, talking with magento, through xmlrpc with codeignite and output with amf (Zend) to flash",neutral,"Now, lets do funkey stuff, talking with magento, through xmlrpc with codeignite and output with amf (Zend) to flash",42fae3d673
1149,thanks,positive,thanks !!my real name is nadia,9209cca56f
1150,E EXPENSIVE,negative,  BUT THEY ARE EXPENSIVE.,aa189955b1
1151,"_ thatd be likely, bein that i lived on campus ha...i just moved back to the cov",neutral,"_ thatd be likely, bein that i lived on campus ha...i just moved back to the cov",6cbf145ce4
1152,msn-ing. no school  shouldn`t there be more bank holidays? x,positive,msn-ing. no school  shouldn`t there be more bank holidays? x,5c7180944c
1153,oh no.  *hugs*,neutral,_tah oh no.  *hugs*,6babb54cc5
1154,Time flies...and i never got it all right. Why oh why?,neutral,Time flies...and i never got it all right. Why oh why?,32968e6949
1155,so sorry,negative, so sorry about that  I have the same issues...LOL. My weekend started about an hour ago!!!,f03dae6ab0
1156,AWESOME,positive,"CCï¿½s video for Long Gone premiers today on yahoo, dont miss it: http://new.music.yahoo.com/videos/premieres/ AWESOME video and version",1b020a64bc
1157,-hugs,positive," I know, i know...  -hugs-",73e3150187
1158,you have no interview today?,neutral, you have no interview today?,db7d1f9d88
1159,is sad th,negative,is sad that she is not seeing Basshunter at Metroplex this weekend,62086f9961
1160,Date movie with Nate. Most likely Wolverine.,neutral,Date movie with Nate. Most likely Wolverine.,7f0eab1127
1161,Poor,negative," *reads phone book* Hugh Clancy, Hugh Claments...Nope, no Hugh Clap.  Poor Holly, though she`ll grab pity votes like a shark.",0a68c4f3b6
1162,She is beautiful . But don`t feel badly. Some neaby grans see grandkids about the same amt.   Can`t go to them = out of luck,neutral,She is beautiful . But don`t feel badly. Some neaby grans see grandkids about the same amt.   Can`t go to them = out of luck,45ef0fd94e
1163,o can`t work that one out  pain in the **** them spammers,negative, o can`t work that one out  pain in the **** them spammers,2889cb3b49
1164,he wasn`t there today   my free day from when the bell rang and wen it rang at the end was okayy..but after,neutral,he wasn`t there today   my free day from when the bell rang and wen it rang at the end was okayy..but after,4ddf9f18d1
1165,aaaaaaaahhhhhhhh I hate the Internet  When will people learn 'native widgets are always best',neutral, aaaaaaaahhhhhhhh I hate the Internet  When will people learn 'native widgets are always best',e5d05cbae2
1166,i love my brother he`s my best friend,positive,watching W. with jas. i love my brother he`s my best friend,608cdbe02c
1167,**** it. Totally gutted,negative,**** it. Totally gutted I decided not to go out tonight. Roni Size is DJing,882d707aca
1168,I don`t think I like,negative,  I don`t think I like this Roy Williams who dissects frogs while still alive >  You look like Chachi from Happy Days,d0dcbd4559
1169,he didn`t know there was going to be a test,neutral, he didn`t know there was going to be a test,32f71e09e0
1170,i need to get tickets though  idk how that is gonna happen,neutral, i need to get tickets though  idk how that is gonna happen,27d75a6a5f
1171,Safari 4 beta (OS X) is in a crash loop on startup. Back to non- cookie saving Firefox.,neutral,Safari 4 beta (OS X) is in a crash loop on startup. Back to non- cookie saving Firefox.,e9b4ce1946
1172,tan,negative, I am definitely ready... actually ahead of you... I already have a sun tan and I was out at the beach yesterday.,f145992965
1173,"As opposed to twitter, where all we can do is talk to people.  SL is fun. I already have way too many ways to distract myself.",positive," As opposed to twitter, where all we can do is talk to people.  SL is fun. I already have way too many ways to distract myself.",226a3c6bb0
1174,wants TFA back.  http://plurk.com/p/x2rgl,neutral,wants TFA back.  http://plurk.com/p/x2rgl,16bd49d152
1175,still on the train goin 2 the southside!,neutral,still on the train goin 2 the southside!,fb2710ea73
1176,The chances of us falling in love are getting fewer and fewer.,negative,Zach G. gets an extensive profile in this weekend`s NY Times Magazine. The chances of us falling in love are getting fewer and fewer.,23e6219d6a
1177,Coffee time  be back later kisses*,neutral,Coffee time  be back later kisses*,6d2c23642f
1178,Thanks!,positive, Yeah! Thanks! I`ll be back in soon to see what ya got!,716f2a0736
1179,fusterated,negative,ahhh fusterated,771b845b38
1180,gob smacked by how good our presentation was,positive,Another HD - my lecturer was gob smacked by how good our presentation was,85769c1ef2
1181,awesome,positive,  awesome! All deserved I`m sure. Miss the Crabs games,66d02b456b
1182,afraid,negative, I am using iMovie 08 and it`s still not bad. I am afraid to hear what is wrong with 09,feb8ed98d1
1183,I wish I could play guitar..... my guitar I got a few christmas`s ago is collecting dust! I need to learn! haha,neutral,I wish I could play guitar..... my guitar I got a few christmas`s ago is collecting dust! I need to learn! haha,4f9167c337
1184,"When balancing a chair on my chin in the sixth form common room got nothing but sneers, I hung those balls up for good",positive," When balancing a chair on my chin in the sixth form common room got nothing but sneers, I hung those balls up for good",6d6430bd5d
1185,but i`m talking to the boy first,neutral,but i`m talking to the boy first,e69734c1de
1186,_ENVY how come you dont think you did good?!,neutral,_ENVY how come you dont think you did good?!,1d1b1fa41a
1187,bad,negative,"outta the shower, too bad justin couldn`t spend the night.  haha",3474d5dce1
1188,jealous,negative, jealous  it looks like schindler`s list in toronto,7fee70ea8a
1189,niceee,positive,"@ Little_Ren is lovely lovely, and so niceee",aa806bb753
1190,I`m saying my goodbye to my car for the next 2 weeks  I`m gonna miss it!!  Its going to come back beautiful though!!,neutral,I`m saying my goodbye to my car for the next 2 weeks  I`m gonna miss it!!  Its going to come back beautiful though!!,11e336ff91
1191,Out with Audrey,neutral,Out with Audrey,afcb6fb1e4
1192,I`m SO jealous,negative,  I`m SO jealous! I don`t know when I`ll be able to see Conan.,1722cd3459
1193,I`m ill,negative,My wedding next Thursday and I`m ill,f4d7f474ba
1194,Me neither. But it`s no longer about what we want. It`s about fairness. And fairness is whatever government says it is.,neutral, Me neither. But it`s no longer about what we want. It`s about fairness. And fairness is whatever government says it is.,0869285805
1195,I might really have to join,positive,Where are all you Motivated/Determined/wannabe sexy successful young professionals!??! I might really have to join a BNI if there is no1!,73616eac59
1196,"I should post some photos of my robots  ok - offline for 4 hours now. ttfn (oh, so IM...)",neutral," I should post some photos of my robots  ok - offline for 4 hours now. ttfn (oh, so IM...)",78c9fe7b1c
1197,joke,positive, lmao yeaa iight n u shuld put tha c.b flick up w. **** on ur head .. juss a joke,9736b31d4c
1198,wont mind sharing,positive, im sure jont wont mind sharing,24ef576980
1199,..poor thing.,negative, Aw...poor thing.,bc361e245e
1200,e such a nasty display picture,negative, hahahah of course  they have such a nasty display picture :`),968964a722
1201,nice,positive, boooo!!! I bet it was a nice wallet too,3568ade162
1202,in math class waiting for lunchhhhhhhh. seniors are done in fifteen minutes,neutral,in math class waiting for lunchhhhhhhh. seniors are done in fifteen minutes,605da579d0
1203,thanks  scared of dentists.. looks like I am going to have to get over it and go,positive, thanks  scared of dentists.. looks like I am going to have to get over it and go,9803285456
1204,having fever,negative, dad`s been having fever since last nite and needs 2 bottles of blood trasfusion..loaded 1 today..1 to go tomorrow.,3a33697bb7
1205,who not here be glad!!!!!!! ur sso luckyyyyyyy i hate u r home n r not enduring dis!!!!,neutral,who not here be glad!!!!!!! ur sso luckyyyyyyy i hate u r home n r not enduring dis!!!!,8213364d90
1206,"Sick. Feel like jello, can`t talk, and delirious.",negative,"Sick. Feel like jello, can`t talk, and delirious.",e3b7b4a3c8
1207,It`s teddy-chucking time,negative,It`s teddy-chucking time,993ed46c7e
1208,great!,positive,OMJ! The 3rd episode of Jonas is too great! They are so funny. I wish I was the Pizza Girll. Lol <3,6c11ca9bb9
1209,. It wasn`t all that great but Channing Tatum is amazing!,neutral,Went and saw Fighting last night with the best friend. It wasn`t all that great but Channing Tatum is amazing!,7ad9625924
1210,Thanks for your reply,positive, it makes perfect sense. I guess i am very down to earth. Thanks for your reply,498b85271a
1211,I miss my lappy.,negative,"Finally, im back online! I miss my lappy. So many things to follow up. Starting with Ning... Haha.",814f356244
1212,"sux,",negative," sux, I`m thinking of being an accountant. Mad monies! I`m a middleschool cafeteria manager  (25k/yr)",54277afaa4
1213,definitely!,positive,"The sun is shining brightly and the day has just begun! What`s in store? Wandering around les calanques maybe? Vin, definitely!",27024dbb18
1214,good,positive," AM`s good for us GMT-ish people, I think.  Looking forward to it and hope you`re batteries & laptop will be recharged soon.",5e14e7c16e
1215,sick,negative,the fact my room is so hot is making me feel sick,6eef4f572c
1216,my arms hurt!,negative,my arms hurt!,1be7769340
1217,..definitely the best of EBM,positive, I can remember those Evidence Based Management lectures...definitely the best of EBM,db75031d55
1218,SO HUNGRY!,negative,on my way to work. I`M SO HUNGRY!,ae1f196245
1219,oh no!!!,negative,starting phase 1 of operation 'be productive'- pack clothes. can`t find pink tank top!! oh no!!!,b9b1ff657b
1220,My throat is on fire,neutral,My throat is on fire,9d6a07033b
1221,Miss Cauzinhoooo already,negative,Miss Cauzinhoooo already,17fc6384ed
1222,Feel free,positive," Fab, eh?  Feel free to come along for some pre-ep 4 chat and drinks over at Luigi`s - http://www.luigis.org.uk tomorrow!",b73764e952
1223,"Since part of your job is predicting what will happen on the golf course, what are you going to shoot?",neutral," Since part of your job is predicting what will happen on the golf course, what are you going to shoot?",345545946d
1224,what kind of food Celli? I`m following you now,neutral, what kind of food Celli? I`m following you now,dd030f0698
1225,"I just want this whole day to hurry up,",neutral,"I just want this whole day to hurry up,",01ecf8487b
1226,"Oh yes..i think almost every Tuesday in June. Which dresss, I just bought one, then felt guilty and took it back",neutral," Oh yes..i think almost every Tuesday in June. Which dresss, I just bought one, then felt guilty and took it back",d9367b79ab
1227,sorry,negative, OK! Oops sorry,211077a9e9
1228,I LLLOOOVVVEEE ICARLY,positive, I LLLOOOVVVEEE ICARLY,d8db8176da
1229,"Aye, May the 4th be with you",neutral," Aye, May the 4th be with you",1cb02cf05c
1230,the suns starting to go in  im getting coldddd!,neutral,the suns starting to go in  im getting coldddd!,4225947565
1231,On my way to dazzle bar!!,neutral,On my way to dazzle bar!!,8f2022b87f
1232,"lol! I thought we was suppose to guess..****, I tried tho..lolol!",neutral," lol! I thought we was suppose to guess..****, I tried tho..lolol!",5239da0dc2
1233,Thanks for all the comments,positive," - Wow, I didn`t realise you were Hami. lol. Thanks for all the comments on my blog, dude",c7e58ae69b
1234,Going to jog down to uni. Quite a way from my family home but exercise and all that,neutral,Going to jog down to uni. Quite a way from my family home but exercise and all that,82539f5a60
1235,missed,negative,_xo  hey chick u alryt u at dads tmoro we sud do sumin aen like last week we neva dun oot this week lol  missed you ha bye hun ****,da724fbf5e
1236,Glad to see the sun out in Dublin after a great week,positive,Glad to see the sun out in Dublin after a great week in London. Back to work,f53c7cad5a
1237,yes not for putting inside anything else,neutral, yes not for putting inside anything else,bc2b74c6d7
1238,You are so weird.,negative," http://twitpic.com/4wfs8 - You are so weird. You need to lay off the smokes, because you`re talking to yourself.",9369a7a9ec
1239,had an awsome salad!,positive,had an awsome salad! I recommend getting the Spicey buffalo chicken salad!,2ab82634d5
1240,SO cute,positive,_Luck13 they are SO cute,82b63c0817
1241,haha I tried covering it with make up.. It doesn`t work  lol so wearing a scarf is the way to go.,neutral, haha I tried covering it with make up.. It doesn`t work  lol so wearing a scarf is the way to go.,5dae53bcaf
1242,what am i gonna do when my iphone is full!,neutral,what am i gonna do when my iphone is full!,44dd2e6f8d
1243,hurts,negative,"_zaboo its ok, it just hurts abit i thought i was doing a good job... if i was rude to people i could understand...  x",ba89f20eea
1244,lost,negative,lost HIATUS noooooooooooooooooo D: back to school tomorow. back in 10TY  (),d0e0be33a9
1245,hahah,positive," yes super lakas ng ulan. buti nalang i have a red bandana, body ko lang ang wet look  hahah!",82ec1b47c4
1246,"Dan`s so funny,",positive,"Watched GossiP.Girl. Dan`s so funny, haha.",5f8ead4a60
1247,hope your day gets better soon!!,positive,  hope your day gets better soon!!,adebad3529
1248,Thanks,positive, Thanks for the shoutout,d7e70dae33
1249,is tired but happy the orphanage was wow.. and babysitting was really fun,neutral,is tired but happy the orphanage was wow.. and babysitting was really fun,30f0194072
1250,urgh,negative,"A sunny morning in the Big K, with lawns to mow and a 2 mile to run to attempt, urgh",f0726ddd52
1251,my car wont start.......,negative,melissa_leah: my car wont start.......,54477f9f5c
1252,couple days?! Sheeeeit. Wish I were there. Have something at Cafe Claude for me.,neutral, couple days?! Sheeeeit. Wish I were there. Have something at Cafe Claude for me.,a5cd62f098
1253,canceled.,negative,Bushidokan class got canceled.   I`ll just have to sign up for karate someplace else!!,c0a2d8f63d
1254,does it work on the iPhone as my MacBook is flat,neutral, does it work on the iPhone as my MacBook is flat,9a3d28ff46
1255,adorable,positive,"aww, jon ryan bob and greta in one picture? how adorable  and it brightens my morning, ty jon walker",ffd025317c
1256,I can be on your favorite producers list  lol,positive, maybe one day I can be on your favorite producers list  lol,aeee8ceff4
1257,You know we do!,neutral, You know we do!,9c7bb80379
1258,wants this summer to actually have some sun in it,neutral,wants this summer to actually have some sun in it,5addf8a3c8
1259,I`d love to!!,positive, I`d love to!!,67dd29837e
1260,The people get so much meaner to you.,negative,Never commute in the rain. The people get so much meaner to you.,528ccda85a
1261,problem,negative, The problem is that I`m not finished with it  But I have logged in mass hours this week on it. And i`m not being paid! POP!,9be60c1b72
1262,what a beautiful morning!,positive,what a beautiful morning! nice to be out,1d363e3c46
1263,FAILlllllllll,negative, FAILlllllllll  whenever ur freee then?,c3d933e350
1264,Contentment,positive,_ray Bright Eyes=Contentment,9280023aec
1265,http://naturalismo.files.wordpress.com/2008/01/elliott10.jpg my hero,neutral,http://naturalismo.files.wordpress.com/2008/01/elliott10.jpg my hero,aa120f1755
1266,"I don`t think I`ve ever been up this early on a Sunday in a while. Meanwhile, the #bigweekend awaits!",neutral,"I don`t think I`ve ever been up this early on a Sunday in a while. Meanwhile, the #bigweekend awaits!",f17e12be38
1267,i feel like taking a day off but cannot afford it  looking forward to the dfb cup final tmrw night though. go werder!!!,neutral,i feel like taking a day off but cannot afford it  looking forward to the dfb cup final tmrw night though. go werder!!!,007654ea31
1268,"@_Marguerite Yup, that`s Dianne and Claudia.  Dianne is new to Tweetville, Claudia has been on a while but not active here",neutral,"@_Marguerite Yup, that`s Dianne and Claudia.  Dianne is new to Tweetville, Claudia has been on a while but not active here",04553c6c8c
1269,hurt to,negative,My legs are so **** sore. And my feet hurt to walk. Whataday,ad94c81511
1270,Were have you been?,neutral, Were have you been?,52c5ebcd63
1271,! sadly,negative, hahah! sadly there is no current activity though in the room,024b8d4b95
1272,Yeah Yeah Yeahs - Softshock,neutral,Yeah Yeah Yeahs - Softshock,49839339e8
1273,We`ll watch & wait & tomorrow I can take anyone who needs to the dr w/o having to take everyone else....N`s cheeks & ears red as my hair,neutral,We`ll watch & wait & tomorrow I can take anyone who needs to the dr w/o having to take everyone else....N`s cheeks & ears red as my hair,6bcc426fd4
1274,yeaaa i just got the link off his lj,neutral, yeaaa i just got the link off his lj,1cc3569a5a
1275,noone wants to talk to me  lol,negative,noone wants to talk to me  lol,1124f6f9a5
1276,so very irratated,negative,so very irratated,59d23b3db7
1277,"thats the most colorful thing ive seen all day,wow.",positive," http://twitpic.com/4vuuy - thats the most colorful thing ive seen all day,wow.",7b9efb5c34
1278,Somebody get me out of work tomorrow.,neutral,Somebody get me out of work tomorrow.,ac7a56d521
1279,"Yeah, I went to bed at 4 and I had to be up at 6. :[",negative," haha.. you were actually in violations of someone`s trademark?! okay..  Yeah, I went to bed at 4 and I had to be up at 6. :[",fb93940016
1280,so goo,positive," I just started watching 30 Rock too, borrowed seasons 1 and 2 from my dad   so good.",adac9ee2e1
1281,like,positive, i like OGBERRY,58457e1e11
1282,suck,negative,Lost at bowling again  why do i suck,59e971682c
1283,e totally welcome,positive," You are totally welcome to come hang out on my wiki  Do it, do it!",3090200836
1284,? American Pie FOREVER. I`m watching it right now. They`re running naked around on the Streets! Would you do that? I would  [ NOT ],neutral,? American Pie FOREVER. I`m watching it right now. They`re running naked around on the Streets! Would you do that? I would  [ NOT ],2302ebbe9e
1285,Hey im a fan from New Zealand. Loving the show even tho we are soooo behind in the episodes! haha. Keep up the good work,positive, Hey im a fan from New Zealand. Loving the show even tho we are soooo behind in the episodes! haha. Keep up the good work,d1cd50d21b
1286,crud is all I can say,neutral, crud is all I can say,b75f6c9be9
1287,going to work till 3...then maybe ride the horses and take my sister to softball pratice,neutral,going to work till 3...then maybe ride the horses and take my sister to softball pratice,9b7b578ce2
1288,Nice!,positive, Nice! You should submit that to failblog.org,2ec5126360
1289,"Is ahhh, ching chong wing wong ping pong ding dong!",neutral,"Is ahhh, ching chong wing wong ping pong ding dong!",335f03ad85
1290,good,positive,has two tickets to Amadou and Miriam for Tue. June 2 that I can`t use  $25 each to anyone who wants `em. That`s face value. Should be good,8f9d6fb09f
1291,_zwitschert There`s supposed to be a <3 at the end of my last tweet but I guess twitter ate it,neutral,_zwitschert There`s supposed to be a <3 at the end of my last tweet but I guess twitter ate it,3c35eae9d4
1292,yey,positive,is going to watch the two davids. yey,187bbd3b14
1293,wtf,negative, hahahaha wtf dianne????? who twitters that lol...i guess it depends who the person is.....,a7036b7dfe
1294,listening to a new Stolen Sheep record,neutral,listening to a new Stolen Sheep record,96c5b4862c
1295,Home from work. A few hours of sleep then putting some miles on the new bike.,neutral,Home from work. A few hours of sleep then putting some miles on the new bike.,b642906cab
1296,"says livejournal is being a bee-eye-tee-see-hedge. Dum dee dum, ok back to work!",neutral,"says livejournal is being a bee-eye-tee-see-hedge. Dum dee dum, ok back to work!",c01f2329db
1297,so emotional.,negative,always excited for a new chapter in my life. just didnt expect it to be so emotional.,8c1c2b26a4
1298,i`ll have to wait..,negative,in about half a hour i`m going to my english lesson...guess i`ll have to wait...and wait for a couple hours so i`m over with it.(( :S   )),094218c2e7
1299,hell yeah!,positive, hell yeah! Belgian beer is the bomb!!  :p,f854b71b06
1300,s good,positive," hahahaha. im listening to my iTunes library, a bit of Sonia Dada atm,  ITs good",1ef247a527
1301,http://twitpic.com/4we4j - Speed lessons on the main screens on center court! I had to take this pic,neutral,http://twitpic.com/4we4j - Speed lessons on the main screens on center court! I had to take this pic,ba786311f9
1302,great,positive,"  great pic,have to upload my pix tomo,I`ve no laptop tonight.",191026b892
1303,I don`t want her dressed up th,negative,acsvxdcbgfn soccer now. shall see young phoebe after D: I don`t want her dressed up though,915c66ead8
1304,win,positive, You win ... SIGH Rakeem,d5ebd5f984
1305,live long,positive,live long and prosper,969294b88a
1306,"just got in from michaels and had some shreddies  im well tired, it was fun though ryan wright stoned = LOL",neutral,"just got in from michaels and had some shreddies  im well tired, it was fun though ryan wright stoned = LOL",a1384fe216
1307,Hey Charicee! How are u? Are you going to come to Italy again? please tell me yes,neutral, Hey Charicee! How are u? Are you going to come to Italy again? please tell me yes,a62c8b0a01
1308,mean,neutral, mean,823122597e
1309,finished proofing the wedding from March .. now just waiting for export and upload before I can share  Still have 2 more sessions to do!,neutral,finished proofing the wedding from March .. now just waiting for export and upload before I can share  Still have 2 more sessions to do!,47ffe3c006
1310,lol yea im thinkin bday bash ! but everybodys lame wants to sit in the house instead of qo wit me  lol,neutral, lol yea im thinkin bday bash ! but everybodys lame wants to sit in the house instead of qo wit me  lol,a546aa1fc0
1311,waiting for the battery to charge for my new DSLR,neutral,waiting for the battery to charge for my new DSLR,18cfebfcf1
1312,My dad had to bury ours six weeks ago. She became his after I left for college fourteen years ago. Long time to have a kitty.,neutral, My dad had to bury ours six weeks ago. She became his after I left for college fourteen years ago. Long time to have a kitty.,a0f4670541
1313,"- Bless you as well sweetie, and i hope you have a wonderful weekend",positive," - Bless you as well sweetie, and i hope you have a wonderful weekend",4214f0e241
1314,I`m lost,negative, you could say that. I left it in VT and have been Blackberryless since Tuesday Night. I`m lost,46dcf0b66d
1315,"but not as much,",negative," it was a biligual sweatshop LOL I talk 2 him once in a while but not as much, he got an r6",3b3d48063c
1316,"super late for work, and got an earful from the PSYCHOPATH. GRRRR! Day, please get better",neutral,"super late for work, and got an earful from the PSYCHOPATH. GRRRR! Day, please get better",0c4c7d7f21
1317,just got outta work.  ....... Frankie`s house.,neutral,just got outta work.  ....... Frankie`s house.,4bd78cb8d0
1318,kirk is hotter than spock,neutral, kirk is hotter than spock,2e5b0e62a4
